Samples, Tg (Celsius), Tc (Celsius), Tonset cryst. (Celsius), Tm (Celsius),  ΔHm (J/g), χc (%)(DSC), χc (%)(XRD)
PEO, -67, 39.2, 48.5, 68.2, 132.6, 64.7, 66.9
P-05 GO,, 47.3, 49.9, 64.8, 106.6, 52.0, 55.0
P-05 NarGO,, 45.0, 49.5, 63.2, 122.0, 59.8, 63.6
P-05 TrGO,, 46.8, 50.4, 66.2, 106.6, 52.2, 58.7
P-05 HyrGO,, 41.2, 45.5, 63.0, 132.3, 64.8, 71.0
P-05 NaHyrGO,, 46.0, 50.0, 62.8, 119.8, 58.7, 65.0
P-2 GO, -54, 46.9, 51.5, 65.3, 102.1, 50.8, 60.7
P-2 NarGO, -56, 43.7, 51.9, 65.9, 105.6, 52.5, 60.8
P-2 TrGO, -57, 48.0, 52.2, 66.7, 103.5, 51.5, 60.7
P-2 HyrGO, -58,  44.6, 49.4, 62.4, 127.5, 63.5, 65.8
P-2 NaHyrGO,, 44.3, 50.2, 61.3, 111.6, 55.5, 63.1
P-2 Graphite,, 48.2, 52.2, 67.5, 138.0, 68.7, 
